feature,importance_mean,importance_std
SSLfinal_State,0.12297759200038923,0.007465162549302066
URL_of_Anchor,0.11580298385378192,0.005788054713577546
Prefix_Suffix,0.032554683965391615,0.0034108002049823903
web_traffic,0.026153091701940884,0.002151806634790513
Links_in_tags,0.024246339405389283,0.0024459637644225823
having_Sub_Domain,0.019539410867700266,0.001988060565213478
Links_pointing_to_page,0.011294305906126373,0.001425874233928451
SFH,0.010753336060075225,0.0018909869004148706
DNSRecord,0.009388319520251626,0.0010633613773121738
Request_URL,0.008913378814605064,0.0017478794105190043
age_of_domain,0.008372150614955193,0.0012122335942311316
having_IP_Address,0.006439382185985679,0.002170376147466963
Domain_registeration_length,0.005806035842750024,0.0014300658652076895
Page_Rank,0.005175570813562083,0.001257598948326495
Google_Index,0.004342694589264048,0.0012772154797763859
URL_Length,0.004256342440297406,0.0013183866400531404
HTTPS_token,0.002611427579534989,0.0008330074556942094
Submitting_to_email,0.001750636932405139,0.001292105411658426
Abnormal_URL,0.0012569609032366535,0.0007086429582579008
Favicon,0.001015480536551927,0.0006211899087717744
Shortining_Service,0.0010057436751196441,0.0010191186245732818
having_At_Symbol,0.0007162047074038835,0.000759091304300553
Iframe,0.0007120396091297027,0.00044270888866079327
Redirect,0.0006143290346348751,0.0008528321169083598
popUpWidnow,0.000554274084558562,0.0008954714456559051
Statistical_report,0.00047982711709540493,0.0003490865891745682
double_slash_redirecting,0.0003250263843379009,0.0005612957903266742
RightClick,0.0,0.0
port,-1.1709221209299514e-07,0.0003490423491173452
on_mouseover,-4.8975872615930616e-05,0.00039806885849510065
